Personnel Conflict Option,خيار تعارض الأفراد,
Personnel Data Conflict,تعارض بيانات الأفراد,
Personnel Detention,حجز فرد,
Personnel Export,تصدير الأفراد,
Personnel History,تاريخ الفرد,
Personnel Imprisonment,حبس فرد,
Personnel Management,إدارة الأفراد,
Personnel Measurement,قياس فرد,
Personnel Medical Committee,لجنة طبية لفرد,
Personnel Military Court,محكمة عسكرية لفرد,
Personnel Promotion,ترقية فرد,
Personnel Record Source,مصدر سجل فرد,
Personnel Committee is required.,اللجنة مطلوبة.,
Personnel Travel,سفر فرد,
Personnel Unit History,تاريخ وحدة الفرد,
Personnel by Unit,الأفراد حسب الوحدة,
Personnel by Rank,الأفراد حسب الرتبة,
Personnel Count,عدد الأفراد,
Personnel management System ,نظام إدارة الأفراد,
Personnel punishment,جزاء فرد,
Place,المكان,
Please enter at least one military number.,يرجى إدخال رقم عسكري واحد على الأقل.,
Please log in before changing language.,يرجى تسجيل الدخول قبل تغيير اللغة.,
Please select a committee.,يرجى اختيار لجنة.,
Preparing Excel file...,جارٍ تجهيز ملف Excel...,
Promotion Date,تاريخ الترقية,
Promotion Promise Date,تاريخ وعد الترقية,
Promotions,الترقيات,
Punishments,الجزاءات,
Punishments by Rank,الجزاءات حسب الرتبة,
Punishments by Unit,الجزاءات حسب الوحدة,
Rank,الرتبة,
Rank Name,اسم الرتبة,
Record,السجل,
Record Conflict,تعارض سجل,
Record Name,اسم السجل,
Record Sources,مصادر السجل,
Record Type,نوع السجل,
Report,التقرير,
Report 1,تقرير 1,
Report 2,تقرير 2,
Report 3,تقرير 3,
Reports,التقارير,
Resolution Notes,ملاحظات الحل,
Resolve,حل,
Resolve Conflict,حل التعارض,
Resolve with {0},حل باستخدام {0},
Resolving conflict...,جارٍ حل التعارض...,
Resolved,محلول,
Resolved By,تم الحل بواسطة,
"Resolved By ",تم الحل بواسطة,
Resolved On,تم الحل في,
Return Date,تاريخ العودة,
Review,مراجعة,
Review conflicts that could not be resolved automatically.,راجع التعارضات التي تعذر حلها تلقائيًا.,
Review unresolved import conflicts.,مراجعة تعارضات الاستيراد غير المحلولة.,
Rows,الصفوف,
Saved history record could not be found.,تعذر العثور على سجل التاريخ المحفوظ.,
Section Break,فاصل قسم,
Select Committee,اختر اللجنة,
Selected,محدد,
Selected Option,الخيار المحدد,
Selected option was not found.,لم يتم العثور على الخيار المحدد.,
Selected Personnel,أفراد محددون,
Service Information,بيانات الخدمة,
Service Year Number,رقم سنة الخدمة,
Service Year number,رقم سنة الخدمة,
Sheet,الورقة,
Social Status,الحالة الاجتماعية,
Source Committee,لجنة المصدر,
Source workbook column validation failed:,فشل التحقق من أعمدة المصنف المصدر:,
Specific Committee,لجنة محددة,
Start Date,تاريخ البداية,
Status,الحالة,
System Manager,مدير النظام,
Switching language...,جارٍ تغيير اللغة...,
The conflicting history record could not be found.,تعذر العثور على سجل التاريخ محل التعارض.,
This conflict is already resolved.,هذا التعارض محلول بالفعل.,
"This will update personnel, history records, committee records, and conflicts from the attached workbook. Continue?",سيؤدي هذا إلى تحديث الأفراد وسجلات التاريخ وسجلات اللجان والتعارضات من المصنف المرفق. هل تريد المتابعة؟,
Total Committees,إجمالي اللجان,
Total Personnel,إجمالي الأفراد,
Travel Date,تاريخ السفر,
Travel Charts & Dashboard,لوحة معلومات ورسوم السفر,
Travel Charts & Dashboards,لوحات معلومات ورسوم السفر,
Travel By Rank,السفر حسب الرتبة,
Travel by Rank,السفر حسب الرتبة,
Travel By Unit,السفر حسب الوحدة,
Travel by Unit,السفر حسب الوحدة,
"Travel History ",سجل السفر,
Travel History,سجل السفر,
Type,النوع,
Unit,الوحدة,
Unit Name,اسم الوحدة,
Unit History,تاريخ الوحدة,
Unmatched,غير مطابق,
Unresolved,غير محلول,
Unresolved Conflicts,التعارضات غير المحلولة,
Unsupported language.,لغة غير مدعومة.,
Validating workbook...,جارٍ التحقق من المصنف...,
Value,القيمة,
Validate Workbook,التحقق من المصنف,
View Personnel,عرض الأفراد,
Volunteer Date,تاريخ التطوع,
Warnings,تحذيرات,
Weapon,السلاح,
Weapon Name,اسم السلاح,
Weight,الوزن,
Weight Date,تاريخ الوزن,
Workbook Validation Passed,نجح التحقق من المصنف,
Workflow,سير العمل,
العربية,العربية,
